latitude,longitude,altitude,Drainage,Height,crown_diameter,trunk_diameter,dbh,taste_attribute,medicine_use,stem_used,crown_height_ratio,canopy_area_m2,trunk_height_ratio,volume_proxy,plant_use_count,parts_used_count,dbh_height_ratio,trunk_crown_ratio,height_crown_product,dbh_category,height_category,total_special_attributes,target
6.733,-0.072,152.579,1,17.215,19.283,7.466,"4,521.04",1,1,0,1.785,292.488,1.685,"2,655.52",2,2,219.956,0.489,159.534,0,0,2,0
10.887,-1.014,265.278,1,9.592,18.893,8.918,787.628,1,0,0,2.514,457.518,0.91,"4,962.56",1,2,89.442,0.371,167.053,0,0,1,0
6.5,0.715,102.651,2,22,9,2,"2,000",1,1,1,0.409,63.617,0.091,"1,399.58",2,3,90.91,0.222,198,1,1,2,0
11.017,-0.555,269.22,1,8.745,23.103,10.398,812.698,1,0,0,1.436,228.938,0.818,"1,688.47",1,2,88.559,0.478,242.607,0,0,1,0
6.5,0.715,103.607,2,31,14,3,"3,000",1,0,1,0.452,153.938,0.097,"4,772.08",1,3,96.77,0.214,434,2,2,1,0
6.231,0.185,98.769,1,30.933,18.187,7.394,"7,405.34",1,0,0,0.654,278.004,0.252,"7,915.78",1,2,251.209,0.372,557.049,2,2,1,0
10.744,-2.039,331.867,1,6,16.1,5.9,550,0,1,0,2.683,203.583,0.983,"1,221.50",2,2,91.67,0.366,96.6,0,0,1,0
7.121,-0.704,170.833,1,11.53,16.44,6,"5,877.51",1,0,0,2.019,245.252,0.476,"3,060.30",1,2,81.346,0.367,266.077,0,0,1,0
7.74,-0.506,103.174,2,13.735,24.007,10.447,"3,909.64",1,0,0,2.111,424.573,0.493,"6,492.88",1,2,206.683,0.44,414.193,0,0,1,0
10.215,0.056,234.145,1,19.708,10.644,5.397,"6,941.57",1,0,0,0.856,215.845,0.291,"3,052.67",1,2,89.289,0.383,112.093,0,0,1,0
7.608,-0.463,199.237,2,18.329,19.062,7.969,"1,879.71",1,0,0,2.046,453.135,0.958,"2,667.39",1,2,115.765,0.387,260.511,0,0,1,0
10.869,-0.033,175.425,1,10.736,13.461,5.184,"1,572.85",1,0,0,1.311,153.869,0.524,"1,542.60",1,2,140.924,0.461,114.225,0,0,1,0
10.821,-0.576,266.175,2,9.095,22.349,12.185,920.715,1,0,0,3.079,433.034,1.443,"3,510.70",1,2,130.546,0.527,217.766,0,0,1,0
6.558,-0.426,258.563,2,11.009,22.764,10.714,"2,665.90",1,0,0,1.568,464.793,0.681,"3,999.75",1,2,152.892,0.43,279.272,0,0,1,0
10.791,-1.492,253.07,1,8.447,16.273,5.955,550,0,1,0,2.425,229.006,0.72,"1,820.47",2,2,80.947,0.358,118.284,0,0,1,0
10.871,-0.829,323.301,1,6.722,21.818,5.954,"1,105.65",0,1,0,3.243,383.033,1.084,"2,104.42",2,2,150.253,0.439,147.467,0,0,1,0
7.516,-0.121,178.395,1,18.115,17.357,3.813,"1,863.70",1,0,0,1.529,206.773,0.617,"2,732.83",1,2,68.483,0.254,258.424,0,0,1,0
6.237,0.101,51.451,2,19,10,3,"3,000",0,1,1,0.526,78.54,0.158,"1,492.26",2,3,157.89,0.3,190,2,1,1,0
6.157,0.053,95.999,2,29.011,17.338,6.087,"5,948.39",1,0,1,0.684,252.861,0.187,"6,179.14",1,3,144.86,0.441,381.666,2,1,1,0
10.788,-1.161,327.874,1,6.102,16.714,11.988,936.468,0,1,0,2.974,339.141,1.269,"1,837.77",2,2,126.255,0.515,131.767,0,0,1,0
6.235,0.174,111.45,1,22,12,3,"3,000",1,1,1,0.545,113.097,0.136,"2,488.14",2,3,136.36,0.25,264,2,1,2,0
8.576,-1.645,59.546,1,18.716,13.824,3.209,"1,431.11",0,1,0,1.018,123.842,0.709,"1,469.64",2,2,148.068,0.3,120.042,0,0,1,0
6.099,0.05,60.568,1,19.247,13.874,4.77,"3,145.72",0,0,0,0.574,166.271,0.201,"2,983.92",1,1,249.073,0.308,286.239,2,1,0,0
9.615,-0.266,172.273,2,15.406,20.928,10.786,922.775,1,0,0,0.876,242.739,0.641,"4,829.44",1,2,127.429,0.359,344.557,0,0,1,0
10.11,-0.093,216.603,1,12.113,9.858,4.839,"1,209.90",1,0,0,0.709,75.126,0.538,"1,451.74",1,2,145.931,0.509,187.187,0,0,1,0
9.959,-1.476,232.348,1,26.082,16.639,6.589,736.93,0,1,0,1.786,239.714,0.457,"1,348.62",2,2,210.562,0.399,161.254,0,0,1,0
6.883,-0.068,234.274,1,28.659,15.226,6.983,"1,678.35",1,0,0,0.945,233.732,0.564,"6,069.88",1,2,76.759,0.446,512.963,0,0,1,0
