Region,District,Geographic_Zone,Latitude,Longitude,Altitude_m,Tree_Growth_Habitat,DBH_mm,Height_m,Crown_Diameter_m,Trunk_Diameter_m,Farm_Cultivated,Topography,Soil_Texture,Uses_Fruit,Uses_Leaf,Uses_Stem,Uses_Root,Uses_Seed,Target_Food,Target_Beverage,Target_Medicine
Ashanti,Kumasi Metropolitan,Southern_Zone,6.675,-1.559,300.97,Spreading,"3,000",13,16,3,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,1,0,0,1,0,1
Bono,Jaman North,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,000",17,12,2,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,1,0,0,1,0,1
Bono,Jaman North,Middle_Zone,8.028,-0.585,177.57,Spreading,"3,500",20,19,3.5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy loam,1,1,1,0,0,1,0,1
Bono,Jaman South Municipal,Middle_Zone,8.028,-0.585,177.57,Erect,"1,800",19,14,1.8,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,0,1
Bono,Jaman South Municipal,Middle_Zone,7.498,-2.881,335.02,Spreading,"5,000",21,26,5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy clay loam,1,1,0,0,0,1,0,1
Bono,Jaman South Municipal,Middle_Zone,7.503,-2.915,269.3,Spreading,"3,500",20,27,3.5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,0,0
Bono,Jaman South Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,000",18,16,2,Other,Flat land,Sandy loam,1,0,0,0,0,1,0,1
Bono,Jaman South Municipal,Middle_Zone,7.751,-2.808,391.12,Spreading,"1,400",20,12,1.4,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,0,0
Bono,Tain,Middle_Zone,8.142,-2.374,272.86,Spreading,"5,400",22,24,5.4,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,0,1
Bono,Tain,Middle_Zone,7.985,-2.433,315.57,Spreading,"3,000",20,16,3,Field,Flat land,Sandy loam,1,1,0,0,0,1,0,0
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,166.06,Spreading,"2,400",21,14,2.4,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.148,-2.089,144.92,Spreading,"3,000",21,16,3,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,700",22,18,2.7,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,900",21,17,2.9,Unknown,Flat land,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.096,142.7,Spreading,"3,100",23,18,31,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,165.08,Spreading,"2,700",18,13,2.7,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,145.21,Spreading,"2,800",23,15,2.8,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"3,000",20,13,3,Fallow land,Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,900",21,15,2.9,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.151,-2.097,184.69,Spreading,"2,800",19,13,2.8,Unknown,Undulating,Sandy loam,1,0,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,900",20,16,2.9,Unknown,Hilly,Sandy loam,1,1,0,0,0,1,0,1
Bono East,Kintampo North Municipal,Middle_Zone,8.09,-1.896,180.24,Erect,"2,200",23,8,2.2,Unknown,Flat land,Sandy loam,1,1,0,0,0,1,1,1
Bono East,Kintampo North Municipal,Middle_Zone,8.149,-2.076,153.59,Spreading,"2,600",22,14,2.6,Unknown,Hilly,Sandy loam,1,1,0,0,0,1,1,1
