0,District,Geographic_Zone,Latitude,Longitude,Altitude_m,Tree_Growth_Habitat,DBH_mm,Height_m,Crown_Diameter_m,Trunk_Diameter_m,Farm_Cultivated,Topography,Soil_Texture,Uses_Fruit,Uses_Leaf,Uses_Stem,Uses_Root,Uses_Seed,Target_Food,Target_Beverage,Target_Medicine,coord_match,Drainage,taste_attribute,medicine_use,stem_used,crown_height_ratio,canopy_area_m2,trunk_height_ratio,plant_use_count,parts_used_count,dbh_height_ratio,trunk_crown_ratio,height_crown_product,dbh_category,height_category,total_special_attributes,target,height_dbh_ratio,crown_trunk_ratio,canopy_volume_proxy,trunk_slenderness,altitude_normalized,altitude_height_interaction,altitude_crown_interaction,total_parts_used,Geographic_Zone_encoded,Tree_Growth_Habitat_encoded,Topography_encoded,Soil_Texture_encoded,Farm_Cultivated_encoded
Ashanti,Kumasi Metropolitan,Southern_Zone,6.675,-1.559,300.97,Spreading,"3,000",13,16,3,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,1,0,0,1,0,1,"(6.675, -1.559)",2,0,1,1,1.231,201.062,0.308,2,3,230.77,0.25,208,2,0,1,2,4.193548387,5.161290323,3328,4.193548387,0.742385751,3912.61,4815.52,3,2,2,4,8,0
Bono,Jaman North,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,000",17,12,2,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,1,0,0,1,0,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,8.095238095,5.714285714,2448,8.095238095,0.390146433,3018.69,2130.84,3,0,2,4,8,0
Bono,Jaman North,Middle_Zone,8.028,-0.585,177.57,Spreading,"3,500",20,19,3.5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Sandy loam,1,1,1,0,0,1,0,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,5.555555556,5.277777778,7220,5.555555556,0.390146433,3551.4,3373.83,3,0,2,0,8,0
Bono,Jaman South Municipal,Middle_Zone,8.028,-0.585,177.57,Erect,"1,800",19,14,1.8,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,0,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,10,7.368421053,3724,10,0.390146433,3373.83,2485.98,2,0,1,4,8,7
Bono,Jaman South Municipal,Middle_Zone,7.498,-2.881,335.02,Spreading,"5,000",21,26,5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy clay loam,1,1,0,0,0,1,0,1,"(7.498, -2.881)",2,0,1,0,1.238,530.929,0.238,2,2,238.1,0.192,546,2,1,1,2,4.117647059,5.098039216,14196,4.117647059,0.839579825,7035.42,8710.52,2,0,2,4,7,0
Bono,Jaman South Municipal,Middle_Zone,7.503,-2.915,269.3,Spreading,"3,500",20,27,3.5,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,0,0,"(7.503, -2.915)",2,0,0,0,1.35,572.555,0.175,1,2,175,0.13,540,2,1,0,2,5.555555556,7.5,14580,5.555555556,0.651985271,5386,7271.1,2,0,2,4,8,0
Bono,Jaman South Municipal,Middle_Zone,8.028,-0.585,177.57,Spreading,"2,000",18,16,2,Other,Flat land,Sandy loam,1,0,0,0,0,1,0,1,"(8.028, -0.585)",,,,,,,,,,,,,,,,,8.571428571,7.619047619,4608,8.571428571,0.390146433,3196.26,2841.12,1,0,2,0,8,5
Bono,Jaman South Municipal,Middle_Zone,7.751,-2.808,391.12,Spreading,"1,400",20,12,1.4,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,0,0,"(7.751, -2.808)",,,,,,,,,,,,,,,,,13.33333333,8,2880,13.33333333,0.999714555,7822.4,4693.44,2,0,2,4,8,0
Bono,Tain,Middle_Zone,8.142,-2.374,272.86,Spreading,"5,400",22,24,5.4,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy loam,1,1,0,0,0,1,0,1,"(8.142, -2.374)",,,,,,,,,,,,,,,,,4,4.363636364,12672,4,0.662147118,6002.92,6548.64,2,0,2,4,8,0
Bono,Tain,Middle_Zone,7.985,-2.433,315.57,Spreading,"3,000",20,16,3,Field,Flat land,Sandy loam,1,1,0,0,0,1,0,0,"(7.985, -2.433)",2,0,0,0,0.8,201.062,0.15,1,2,150,0.188,320,2,1,0,2,6.451612903,5.161290323,5120,6.451612903,0.784060743,6311.4,5049.12,2,0,2,0,8,3
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,166.06,Spreading,"2,400",21,14,2.4,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.722,132.732,0.15,2,2,150,0.208,234,1,1,1,2,8.4,5.6,4116,8.4,0.357291696,3487.26,2324.84,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,166.06,Spreading,"2,400",21,14,2.4,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.652,176.715,0.122,2,2,121.74,0.187,345,1,1,1,2,8.4,5.6,4116,8.4,0.357291696,3487.26,2324.84,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,166.06,Spreading,"2,400",21,14,2.4,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.667,153.938,0.114,2,2,114.29,0.171,294,1,1,1,2,8.4,5.6,4116,8.4,0.357291696,3487.26,2324.84,2,0,2,4,8,7
Bono East,Kintampo North Municipal,Middle_Zone,8.15,-2.098,166.06,Spreading,"2,400",21,14,2.4,Unknown,Undulating,Sandy loam,1,1,0,0,0,1,1,1,"(8.15, -2.098)",1,0,1,0,0.65,132.732,0.15,2,2,150,0.231,260,2,1,1,2,8.4,5.6,4116,8.4,0.357291696,3487.26,2324.84,2,0,2,4,8,7
